"name","country.etc","long","lat"
"A Coruna","Spain",-8.42,43.33
"A Estrada","Spain",-8.5,42.7
"A Laracha","Spain",-8.59,43.25
"A Pobra do Caraminal","Spain",-8.94,42.61
"A Ver-o-Mar","Portugal",-8.76,41.4
"A dos Cunhados","Portugal",-9.29,39.15
"A i Afjord","Norway",10.21,63.97
"Aa en Hunze","Netherlands",6.7,53.05
"Aabenraa","Denmark",9.42,55.05
"Aabybro","Denmark",9.75,57.15
"Aachen","Germany",6.09,50.77
"Aadorf","Switzerland",8.9,47.49
"Aakirkeby","Denmark",14.93,55.07
"Aakre","Estonia",26.19,58.1
"Aalborg","Denmark",9.93,57.03
"Aalburg","Netherlands",5.13,51.75
"Aalen","Germany",10.09,48.85
"Aalestrup","Denmark",9.5,56.7
"Aalsmeer","Netherlands",4.76,52.27
"Aalst","Belgium",4.03,50.93
"Aalten","Netherlands",6.57,51.94
"Aalter","Belgium",3.45,51.08
"Aanekoski","Finland",25.69,62.61
"Aarau","Switzerland",8.04,47.4
"Aarberg","Switzerland",7.28,47.05
"Aarburg","Switzerland",7.89,47.32
"Aardla","Estonia",26.78,58.31
"Aarna","Estonia",26.97,58.07
"Aars","Denmark",9.53,56.8
"Aarschot","Belgium",4.83,50.98
"Aartselaar","Belgium",4.38,51.13
"Aarup","Denmark",10.07,55.38
"Aarwangen","Switzerland",7.75,47.23
"Aasmae","Estonia",24.51,59.24
"Aaspere","Estonia",26.12,59.42
"Aaviku","Estonia",24.91,59.34
"Aba","Hungary",18.53,47.03
"Abadszalok","Hungary",20.6,47.47
"Abaetetuba","Brazil",-48.89,-1.72
"Abakan","Russia",91.43,53.72
"Abano Terme","Italy",11.78,45.35
"Abanto Zierbena","Spain",-3.08,43.32
"Abaran","Spain",-1.4,38.2
"Abasar","Hungary",20,47.8
"Abasha","Georgia",42.21,42.21
"Abastumani","Georgia",42.85,41.7
"Abaujszanto","Hungary",21.18,48.28
"Abaza","Russia",90.09,52.66
"Abbeville","France",1.83,50.12
"Abbeyfeale","Ireland",-9.3,52.39
"Abbeyleix","Ireland",-7.35,52.9
"Abbiategrasso","Italy",8.91,45.41
"Abda","Hungary",17.55,47.7
"Abdulino","Russia",53.67,53.7
"Abercarn-Newbridge","UK",-3.14,51.65
"Aberdare","UK",-3.46,51.72
"Aberdeen","UK",-2.1,57.15
"Abergavenny","UK",-3.02,51.83
"Abergele","UK",-3.58,53.28
"Aberkenfig-Bryncoch","UK",-3.6,51.54
"Abertamy","Czech Republic",12.82,50.37
"Abertillery","UK",-3.13,51.73
"Aberystwyth","UK",-4.09,52.42
"Abingdon","UK",-1.29,51.68
"Abinsk","Russia",38.16,44.87
"Abja-Paluoja","Estonia",25.35,58.13
"Abony","Hungary",20.01,47.19
"Abram","UK",-2.58,53.52
"Abrantes","Portugal",-8.19,39.47
"Abraveses","Portugal",-7.91,40.67
"Abrera","Spain",1.9,41.52
"Abreu e Lima","Brazil",-34.88,-7.95
"Abrud","Romania",23.06,46.28
"Absam","Austria",11.5,47.3
"Abtenau","Austria",13.35,47.55
"Abweiler","Luxembourg",6.08,49.53
"Acailandia","Brazil",-47.54,-5.06
"Acarau","Brazil",-40.12,-2.89
"Acatari","Romania",24.65,46.45
"Accrington","UK",-2.39,53.76
"Acerra","Italy",14.39,41
"Acheres","France",2.06,48.97
"Achern","Germany",8.08,48.63
"Achim","Germany",9.01,53.04
"Achinsk","Russia",90.5,56.28
"Achkhoy-Martan","Russia",45.29,43.19
"Aci Castello","Italy",15.13,37.56
